mame2003 per-game video output color format
======================================================================

HOW THE FORMAT IS CHOSEN (per loaded game, default options)
----------------------------------------------------------------------
The libretro pixel format is selected once at load from the driver's video
attributes, and the frame is delivered with the fewest copies/conversions:

  VIDEO_RGB_DIRECT + (6BITS_PER_GUN or VECTOR) -> 32bpp -> XRGB8888
      Direct RGB; handed to the frontend as-is. Zero-copy pointer pass
      straight from the game bitmap when the game is not rotated/flipped.
  VIDEO_RGB_DIRECT (no 6BITS, not vector)      -> 15bpp -> RGB565
      0RGB1555 is up-converted to RGB565 with a single shift per pixel
      (RGB565 is the frontend's fast path; 0RGB1555 is not).
  paletted + 6BITS_PER_GUN                      -> 16bpp -> XRGB8888
      Palette index resolved to 32bpp via the game palette.
  paletted (otherwise)                          -> 16bpp -> RGB565
      Palette pre-resolved to an RGB565 table on palette change; the
      per-pixel path is a plain table lookup with no arithmetic.

In every non-bypass case the conversion writes straight into the frontend
framebuffer when GET_CURRENT_SOFTWARE_FRAMEBUFFER grants one, else into an
internal buffer. Rotated/flipped games convert rather than bypass.

Totals: RGB565 3642 (79.4%), XRGB8888 947 (20.6%) of 4589 games.


######################################################################
# RGB565  - paletted 16bpp, palette pre-resolved to 565 (table lookup)   (3641 games)
######################################################################
tetrisa        machine=tetris           RGB565
tetrisbl       machine=tetris           RGB565
tetrisp2       machine=tetrisp2         RGB565
tetrist        machine=tetrist          RGB565
tfrceac        machine=segac2           RGB565
tfrceacb       machine=segac2           RGB565
tfrceacj       machine=segac2           RGB565
tgmj           machine=znqsound         RGB565
tharierj       machine=tharrier         RGB565
tharrier       machine=tharrier         RGB565
thedeep        machine=thedeep          RGB565
theend         machine=theend           RGB565
theends        machine=theend           RGB565
theglob        machine=epos             RGB565
theglob2       machine=epos             RGB565
theglob3       machine=epos             RGB565
theglobp       machine=theglobp         RGB565
thehand        machine=gotya            RGB565
thehustj       machine=battlnts         RGB565
thehustl       machine=battlnts         RGB565
themj          machine=themj            RGB565
thepit         machine=thepit           RGB565
thetogyu       machine=system1          RGB565
thief          machine=thief            RGB565
thndblst       machine=lethalth         RGB565
thnderxj       machine=thunderx         RGB565
thndfoxj       machine=thundfox         RGB565
thndfoxu       machine=thundfox         RGB565
thndrbdj       machine=aburner          RGB565
thndrbld       machine=aburner          RGB565
thndrx2        machine=thndrx2          RGB565
thndrx2a       machine=thndrx2          RGB565
thoop2         machine=thoop2           RGB565
thunderl       machine=thunderl         RGB565
thunderx       machine=thunderx         RGB565
thundfox       machine=thundfox         RGB565
tickee         machine=tickee           RGB565
tigerh         machine=tigerh           RGB565
tigerh2        machine=tigerh           RGB565
tigerhb1       machine=tigerhb          RGB565
tigerhb2       machine=tigerhb          RGB565
tigerhj        machine=tigerh           RGB565
tigeroad       machine=tigeroad         RGB565
timber         machine=mcr3_ssio        RGB565
timek131       machine=timekill         RGB565
timekill       machine=timekill         RGB565
timelimt       machine=timelimt         RGB565
timeplt        machine=timeplt          RGB565
timepltc       machine=timeplt          RGB565
timesol1       machine=alpha68k_II      RGB565
timesold       machine=alpha68k_II      RGB565
timetunl       machine=nomcu            RGB565
timscanr       machine=timscanr         RGB565
tinklpit       machine=namcona1w        RGB565
tinstar        machine=mcu              RGB565
tinv2650       machine=tinvader         RGB565
tiptop         machine=congo            RGB565
tkdensho       machine=deroon           RGB565
tknight        machine=shadoww          RGB565
tkoboxng       machine=vsnes            RGB565
tmht           machine=tmnt             RGB565
tmht2p         machine=tmnt             RGB565
tmmjprd        machine=rabbit           RGB565
tmnt           machine=tmnt             RGB565
tmnt2          machine=tmnt2            RGB565
tmnt22p        machine=tmnt2            RGB565
tmnt2a         machine=tmnt2            RGB565
tmnt2pj        machine=tmnt             RGB565
tmnt2po        machine=tmnt             RGB565
tmntj          machine=tmnt             RGB565
tmntu          machine=tmnt             RGB565
tndrcade       machine=tndrcade         RGB565
tndrcadj       machine=tndrcade         RGB565
tnexspce       machine=tnexspce         RGB565
tnk3           machine=tnk3             RGB565
tnk3j          machine=tnk3             RGB565
tnzs           machine=tnzs             RGB565
tnzs2          machine=tnzs             RGB565
tnzsb          machine=tnzsb            RGB565
todruaga       machine=todruaga         RGB565
todruago       machine=todruaga         RGB565
toffy          machine=toffy            RGB565
toggle         machine=balsente         RGB565
toki           machine=toki             RGB565
tokia          machine=toki             RGB565
tokib          machine=tokib            RGB565
tokij          machine=toki             RGB565
tokimbsj       machine=tokimbsj         RGB565
tokio          machine=tokio            RGB565
tokiob         machine=tokio            RGB565
tokisens       machine=wbml             RGB565
tokiu          machine=toki             RGB565
tokyogal       machine=tokyogal         RGB565
tomahaw5       machine=tomahawk         RGB565
tomahawk       machine=tomahawk         RGB565
tondemo        machine=zn               RGB565
tontonb        machine=tontonb          RGB565
toobin         machine=toobin           RGB565
toobin1        machine=toobin           RGB565
toobin2        machine=toobin           RGB565
toobin2e       machine=toobin           RGB565
toobine        machine=toobin           RGB565
toobing        machine=toobin           RGB565
topgun         machine=vsnes            RGB565
topgunbl       machine=jackal           RGB565
topgunr        machine=jackal           RGB565
tophuntr       machine=neogeo           RGB565
topland        machine=airsys           RGB565
topracer       machine=polepos          RGB565
topsecex       machine=exidy440         RGB565
topspedu       machine=topspeed         RGB565
topspeed       machine=topspeed         RGB565
toramich       machine=toramich         RGB565
toratora       machine=toratora         RGB565
toride2g       machine=toride2g         RGB565
tornbase       machine=8080bw           RGB565
toryumon       machine=toryumon         RGB565
touchgo        machine=touchgo          RGB565
tourtab2       machine=tourtabl         RGB565
tourtabl       machine=tourtabl         RGB565
toutrun        machine=outrun           RGB565
toutruna       machine=outrun           RGB565
toypop         machine=toypop           RGB565
tp84           machine=tp84             RGB565
tp84a          machine=tp84             RGB565
tpgolf         machine=neogeo           RGB565
tps            machine=zn               RGB565
trackflc       machine=trackfld         RGB565
trackfld       machine=trackfld         RGB565
trally         machine=neogeo           RGB565
tranqgun       machine=4ports           RGB565
transfrm       machine=segae            RGB565
travrusa       machine=travrusa         RGB565
trckydoc       machine=trckydoc         RGB565
treahunt       machine=jack             RGB565
tricktrp       machine=labyrunr         RGB565
trigon         machine=lgtnfght         RGB565
triothep       machine=triothep         RGB565
triplep        machine=triplep          RGB565
triplew1       machine=triplew1         RGB565
triplew2       machine=triplew2         RGB565
triplfun       machine=triplfun         RGB565
triplhnt       machine=triplhnt         RGB565
tripool        machine=tripool          RGB565
tripoola       machine=tripool          RGB565
trisport       machine=trisport         RGB565
triviabb       machine=balsente         RGB565
triviag1       machine=balsente         RGB565
triviag2       machine=balsente         RGB565
triviasp       machine=balsente         RGB565
triviayp       machine=balsente         RGB565
trivquiz       machine=trivquiz         RGB565
troangel       machine=troangel         RGB565
trojan         machine=trojan           RGB565
trojanj        machine=trojan           RGB565
trojanr        machine=trojan           RGB565
tron           machine=mcr2             RGB565
tron2          machine=mcr2             RGB565
truco          machine=truco            RGB565
truxton        machine=truxton          RGB565
truxton2       machine=truxton2         RGB565
tryout         machine=tryout           RGB565
ts2            machine=znqsound         RGB565
ts2j           machine=znqsound         RGB565
tsamura2       machine=tsamurai         RGB565
tsamurai       machine=tsamurai         RGB565
tshingen       machine=system_A         RGB565
tshingna       machine=system_A         RGB565
tshoot         machine=williams2        RGB565
tst_galx       machine=galaxian         RGB565
tst_invd       machine=invaders         RGB565
tstrike        machine=darktowr         RGB565
ttmahjng       machine=ttmahjng         RGB565
tturf          machine=tturf            RGB565
tturfbl        machine=tturfbl          RGB565
tturfu         machine=tturfu           RGB565
tubeit         machine=cachat           RGB565
tugboat        machine=tugboat          RGB565
tumblep        machine=tumblep          RGB565
tumblep2       machine=tumblepb         RGB565
tumblepb       machine=tumblepb         RGB565
tumblepj       machine=tumblep          RGB565
tunhunt        machine=tunhunt          RGB565
tunhuntc       machine=tunhunt          RGB565
turbo          machine=turbo            RGB565
turboa         machine=turbo            RGB565
turbob         machine=turbo            RGB565
turbofrc       machine=turbofrc         RGB565
turbotag       machine=turbotag         RGB565
turfmast       machine=neogeo           RGB565
turpin         machine=amidar           RGB565
turtles        machine=amidar           RGB565
turtship       machine=turtship         RGB565
tutankhm       machine=tutankhm         RGB565
tutankst       machine=tutankhm         RGB565
twinbee        machine=gx400            RGB565
twincobr       machine=twincobr         RGB565
twincobu       machine=twincobr         RGB565
twineagl       machine=twineagl         RGB565
twinhawk       machine=daisenpu         RGB565
twinhwku       machine=daisenpu         RGB565
twinspri       machine=neogeo           RGB565
twotiger       machine=mcr2             RGB565
twotigra       machine=twotigra         RGB565
tws96          machine=neogeo           RGB565
typhoon        machine=ajax             RGB565
uballoon       machine=uballoon         RGB565
uccops         machine=raster           RGB565
uccopsj        machine=raster           RGB565
uchuuai        machine=uchuuai          RGB565
ufosensi       machine=chplft           RGB565
ultennis       machine=artmagic         RGB565
ultraman       machine=ultraman         RGB565
ultramhm       machine=ultramhm         RGB565
ultratnk       machine=ultratnk         RGB565
umanclub       machine=umanclub         RGB565
undoukai       machine=undoukai         RGB565
