mame2003 per-game audio class list
======================================================================

WHAT THE CLASSES MEAN
----------------------------------------------------------------------
Class 1 (no resampling): every sound source in the game synthesizes audio
  directly at the core's chosen output rate. The mixer is a 1:1 copy; there
  is no rate conversion inside the core. (AY8910, SN76496, YM2203, YM2612,
  OKIM6295, DAC, MSM5205/ADPCM, qsound, SEGAPCM, K-series PCM, POKEY, etc.)

Class 2 (resampling needed): the sound source runs at a fixed clock-derived
  rate that is NOT the output rate, so the mixer must resample it. (YM2151,
  YM3812/YM3526/Y8950, YMF262, YM2413, YM2608, YM2610/B, NAMCO wavetable,
  C140, VLM5030, SP0250, SCSP, GAELCO.)

Per game we bucket as:
  NONE   - 0 class-2 sources              -> already no core resampling
ozmawars       machine=invaders         SAMPLES
pacmanbl       machine=pacmanbl         CUSTOM
panic          machine=panic            SAMPLES
panic2         machine=panic            SAMPLES
panic3         machine=panic            SAMPLES
panicger       machine=panic            SAMPLES
panich         machine=panic            SAMPLES
pballoon       machine=pballoon         CUSTOM|SAMPLES
pbillian       machine=pbillian         CUSTOM
pepper2        machine=pepper2          CUSTOM|SAMPLES
phantoma       machine=phantoma         CUSTOM|SAMPLES
phoenix        machine=phoenix          CUSTOM
phoenix3       machine=phoenix          CUSTOM
phoenixa       machine=phoenix          CUSTOM
phoenixc       machine=phoenix          CUSTOM
phoenixt       machine=phoenix          CUSTOM
pigout         machine=lelandi          CUSTOM
pigouta        machine=lelandi          CUSTOM
pisces         machine=pisces           CUSTOM
piscesb        machine=pisces           CUSTOM
pleiadbl       machine=pleiads          CUSTOM
pleiadce       machine=pleiads          CUSTOM
pleiads        machine=pleiads          CUSTOM
polyplay       machine=polyplay         CUSTOM
popflama       machine=popflame         CUSTOM
popflamb       machine=popflame         CUSTOM
popflame       machine=popflame         CUSTOM
powrplay       machine=leland           CUSTOM
pulsar         machine=pulsar           SAMPLES
qbert          machine=qbert            SAMPLES
qbertjp        machine=qbert            SAMPLES
qbertqub       machine=qbert            SAMPLES
qberttst       machine=qbert            SAMPLES
quarterb       machine=quarterb         CUSTOM
quartrba       machine=quarterb         CUSTOM
radarscp       machine=radarscp         SAMPLES
rallys         machine=rallys           CUSTOM|SAMPLES
rdaction       machine=ninjak2a         CUSTOM|SAMPLES
reactor        machine=reactor          SAMPLES
redbaron       machine=redbaron         CUSTOM
redlin2p       machine=redline          CUSTOM
redufo         machine=galaxian         CUSTOM
ripoff         machine=ripoff           SAMPLES
rockclim       machine=rockclim         CUSTOM
rotaryf        machine=rotaryf          SAMPLES
rpatrolb       machine=cclimber         CUSTOM
rugrats        machine=wiping           CUSTOM
safarir        machine=safarir          SAMPLES
satansat       machine=satansat         CUSTOM|SAMPLES
schaser        machine=schaser          CUSTOM
scorpnmc       machine=scorpnmc         CUSTOM
scramblb       machine=scramblb         CUSTOM
seawolf        machine=seawolf          SAMPLES
senjyo         machine=senjyo           CUSTOM
sharkatt       machine=sharkatt         SAMPLES
showdown       machine=exidy440         CUSTOM
sicv           machine=invadpt2         SAMPLES
sidetrac       machine=targ             CUSTOM|SAMPLES
silvland       machine=cclimber         CUSTOM
sinvemag       machine=invaders         SAMPLES
sinvzen        machine=invaders         SAMPLES
sisv           machine=invadpt2         SAMPLES
sisv2          machine=invadpt2         SAMPLES
sitv           machine=invaders         SAMPLES
skybase        machine=skybase          CUSTOM
skyraidr       machine=pisces           CUSTOM
smooncrs       machine=mooncrst         CUSTOM
solarq         machine=solarq           SAMPLES
solfight       machine=invaders         SAMPLES
sos            machine=sos              CUSTOM
spacbatt       machine=pisces           CUSTOM
spaceat2       machine=invaders         SAMPLES
spaceatt       machine=invaders         SAMPLES
spaceint       machine=spaceint         SAMPLES
spaceod        machine=spaceod          SAMPLES
spaceph        machine=invaders         SAMPLES
spacewar       machine=spacewar         SAMPLES
spacewr3       machine=invaders         SAMPLES
spceking       machine=invaders         SAMPLES
spcewarl       machine=invaders         SAMPLES
spcewars       machine=invaders         SAMPLES
spcking2       machine=spcking2         SAMPLES
spclaser       machine=invaders         SAMPLES
spectar        machine=targ             CUSTOM|SAMPLES
spectar1       machine=targ             CUSTOM|SAMPLES
sqbert         machine=qbert            SAMPLES
sstrangr       machine=sstrangr         SAMPLES
sstrngr2       machine=sstrngr2         SAMPLES
starcas        machine=starcas          SAMPLES
starcas1       machine=starcas          SAMPLES
starcase       machine=starcas          SAMPLES
starcasp       machine=starcas          SAMPLES
starcrus       machine=starcrus         SAMPLES
starforc       machine=senjyo           CUSTOM
starfore       machine=senjyo           CUSTOM
starw          machine=invaders         SAMPLES
stellcas       machine=starcas          SAMPLES
streakng       machine=pacmanbl         CUSTOM
strkzone       machine=leland           CUSTOM
strtheat       machine=strtheat         SAMPLES
subhunt        machine=depthch          SAMPLES
subroc3d       machine=subroc3d         SAMPLES
sundance       machine=sundance         SAMPLES
superg         machine=galaxian         CUSTOM
superinv       machine=invaders         SAMPLES
swarm          machine=galaxian         CUSTOM
szaxxon        machine=zaxxon           SAMPLES
tacscan        machine=tacscan          CUSTOM|SAMPLES
tankbatt       machine=tankbatt         SAMPLES
targ           machine=targ             CUSTOM|SAMPLES
targc          machine=targ             CUSTOM|SAMPLES
teamqb         machine=lelandi          CUSTOM
teamqb2        machine=lelandi          CUSTOM
thehand        machine=gotya            SAMPLES
thief          machine=thief            SAMPLES
tiptop         machine=congo            SAMPLES
tomahaw5       machine=tomahawk         SAMPLES
tomahawk       machine=tomahawk         SAMPLES
topsecex       machine=exidy440         CUSTOM
tst_galx       machine=galaxian         CUSTOM
tst_invd       machine=invaders         SAMPLES
turbo          machine=turbo            SAMPLES
turboa         machine=turbo            SAMPLES
turbob         machine=turbo            SAMPLES
uniwars        machine=pisces           CUSTOM
vangrdce       machine=vanguard         CUSTOM|SAMPLES
vanguard       machine=vanguard         CUSTOM|SAMPLES
vautour        machine=phoenix          CUSTOM
venture        machine=venture          CUSTOM|SAMPLES
venture2       machine=venture          CUSTOM|SAMPLES
venture4       machine=venture          CUSTOM|SAMPLES
victorba       machine=victory          CUSTOM
victory        machine=victory          CUSTOM
viper          machine=lelandi          CUSTOM
vpool          machine=mooncrst         CUSTOM
warofbug       machine=galaxian         CUSTOM
warpwar2       machine=warpwarp         CUSTOM
warpwarp       machine=warpwarp         CUSTOM
warpwarr       machine=warpwarp         CUSTOM
warrior        machine=warrior          SAMPLES
whodunit       machine=exidy440         CUSTOM
wiping         machine=wiping           CUSTOM
wow            machine=wow              CUSTOM|SAMPLES
wseries        machine=leland           CUSTOM
zarzon         machine=satansat         CUSTOM|SAMPLES
zaxxon         machine=zaxxon           SAMPLES
zaxxon2        machine=zaxxon           SAMPLES
zaxxonb        machine=zaxxon           SAMPLES
zerotime       machine=galaxian         CUSTOM

######################################################################
# SINGLE + SAMPLES/CUSTOM, follows hint   (55 games)
######################################################################
astrob         machine=astrob           SP0250+SAMPLES/CUSTOM
astrob1        machine=astrob           SP0250+SAMPLES/CUSTOM
astrob2        machine=astrob           SP0250+SAMPLES/CUSTOM
asylum         machine=wsf              YM2151+SAMPLES/CUSTOM
battles        machine=battles          NAMCO+SAMPLES/CUSTOM
bosco          machine=bosco            NAMCO+SAMPLES/CUSTOM
boscomd        machine=bosco            NAMCO+SAMPLES/CUSTOM
boscomdo       machine=bosco            NAMCO+SAMPLES/CUSTOM
boscoo         machine=bosco            NAMCO+SAMPLES/CUSTOM
boscoo2        machine=bosco            NAMCO+SAMPLES/CUSTOM
brutforc       machine=wsf              YM2151+SAMPLES/CUSTOM
galaga         machine=galaga           NAMCO+SAMPLES/CUSTOM
galaga3        machine=gaplus           NAMCO+SAMPLES/CUSTOM
galaga3a       machine=gaplus           NAMCO+SAMPLES/CUSTOM
galaga3m       machine=gaplus           NAMCO+SAMPLES/CUSTOM
galaga84       machine=galaga           NAMCO+SAMPLES/CUSTOM
galagab2       machine=galaga           NAMCO+SAMPLES/CUSTOM
galagads       machine=galaga           NAMCO+SAMPLES/CUSTOM
galagamw       machine=galaga           NAMCO+SAMPLES/CUSTOM
gallag         machine=galaga           NAMCO+SAMPLES/CUSTOM
gaplus         machine=gaplus           NAMCO+SAMPLES/CUSTOM
gaplusa        machine=gaplusa          NAMCO+SAMPLES/CUSTOM
gapluso        machine=gapluso          NAMCO+SAMPLES/CUSTOM
